Sample notes : Sample description,Sample notes : Sample note 1,Specimen notes : Specimen note 1
"70% Particulate
30% PDMS","Tayo Oladele 
Andrew Li
Andrew Guglielmo",""

Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","-0.0001"
"0.1400","0.0021","0.0001"
"0.2800","0.0102","0.0015"
"0.4200","0.0172","0.0023"
"0.5600","0.0243","0.0030"
"0.7000","0.0314","0.0039"
"0.8400","0.0382","0.0044"
"0.9800","0.0453","0.0052"
"1.1200","0.0523","0.0056"
"1.2600","0.0594","0.0061"
"1.4000","0.0663","0.0066"
"1.5400","0.0731","0.0070"
"1.6800","0.0803","0.0074"
"1.8200","0.0874","0.0078"
"1.9600","0.0944","0.0079"
"2.1000","0.1014","0.0083"
"2.2400","0.1082","0.0085"
"2.3800","0.1153","0.0086"
"2.5200","0.1223","0.0089"
"2.6600","0.1293","0.0091"
"2.8000","0.1364","0.0094"
"2.9400","0.1432","0.0098"
"3.0800","0.1504","0.0102"
"3.2200","0.1574","0.0103"
"3.3600","0.1642","0.0107"
"3.5000","0.1714","0.0108"
"3.6400","0.1783","0.0109"
"3.7800","0.1854","0.0108"
"3.9200","0.1924","0.0111"
"4.0600","0.1991","0.0115"
"4.2000","0.2063","0.0117"
"4.3400","0.2133","0.0119"
"4.4800","0.2204","0.0122"
"4.6200","0.2274","0.0127"
"4.7600","0.2342","0.0127"
"4.9000","0.2413","0.0133"
"5.0400","0.2483","0.0136"
"5.1800","0.2554","0.0137"
"5.3200","0.2624","0.0140"
"5.4600","0.2693","0.0145"
"5.6000","0.2764","0.0147"
"5.7400","0.2834","0.0150"
"5.8800","0.2902","0.0150"
"6.0200","0.2973","0.0152"
"6.1600","0.3043","0.0156"
"6.3000","0.3114","0.0158"
"6.4400","0.3184","0.0160"
"6.5800","0.3252","0.0165"
"6.7200","0.3323","0.0166"
"6.8600","0.3393","0.0171"
"7.0000","0.3464","0.0175"
"7.1400","0.3534","0.0175"
"7.2800","0.3601","0.0177"
"7.4200","0.3673","0.0179"
"7.5600","0.3743","0.0183"
"7.7000","0.3814","0.0186"
"7.8400","0.3884","0.0191"
"7.9800","0.3952","0.0192"
"8.1200","0.4024","0.0195"
"8.2600","0.4094","0.0197"
"8.4000","0.4163","0.0199"
"8.5400","0.4233","0.0202"
"8.6800","0.4301","0.0204"
"8.8200","0.4374","0.0207"
"8.9600","0.4444","0.0211"
"9.1000","0.4513","0.0212"
"9.2400","0.4583","0.0217"
"9.3800","0.4653","0.0218"
"9.5200","0.4724","0.0222"
"9.6600","0.4794","0.0222"
"9.8000","0.4862","0.0225"
"9.9400","0.4932","0.0228"
"10.0800","0.5003","0.0231"
"10.2200","0.5074","0.0234"
"10.3600","0.5144","0.0236"
"10.5000","0.5212","0.0238"
"10.6400","0.5283","0.0243"
"10.7800","0.5354","0.0243"
"10.9200","0.5424","0.0247"
"11.0600","0.5494","0.0249"
"11.2000","0.5562","0.0249"
"11.3400","0.5634","0.0252"
"11.4800","0.5704","0.0255"
"11.6200","0.5773","0.0257"
"11.7600","0.5843","0.0260"
"11.9000","0.5912","0.0264"
"12.0400","0.5984","0.0268"
"12.1800","0.6054","0.0269"
