Results Table 1
,Specimen number (included),Maximum Force
,,(kN)
"1","1","0.01"

Results Table 2



Time,Displacement,Force
(s),(mm),(N)
"9.1500","1.5152","10.6759"
"9.2000","1.5235","10.6794"
"9.2500","1.5319","10.6837"
"9.3000","1.5403","10.6922"
"9.3500","1.5486","10.6853"
"9.4000","1.5569","10.6825"
"9.4500","1.5651","10.6739"
"9.5000","1.5735","10.7100"
"9.5500","1.5819","10.6944"
"9.6000","1.5902","10.6922"
"9.6500","1.5985","10.6913"
"9.7000","1.6069","10.7196"
"9.7500","1.6152","10.7305"
"9.8000","1.6235","10.7311"
"9.8500","1.6318","10.7395"
"9.9000","1.6402","10.7183"
"9.9500","1.6486","10.7263"
"10.0000","1.6568","10.7303"
"10.0500","1.6652","10.7363"
"10.1000","1.6736","10.7424"
"10.1500","1.6819","10.7367"
"10.2000","1.6901","10.7532"
"10.2500","1.6985","10.7522"
"10.3000","1.7069","10.7549"
"10.3500","1.7152","10.7593"
"10.4000","1.7236","10.7810"
"10.4500","1.7319","10.7864"
"10.5000","1.7402","10.7680"
"10.5500","1.7485","10.7694"
"10.6000","1.7568","10.7970"
"10.6500","1.7652","10.7883"
"10.7000","1.7735","10.8091"
"10.7500","1.7819","10.8245"
"10.8000","1.7903","10.8032"
"10.8500","1.7986","10.7920"
"10.9000","1.8068","10.8110"
"10.9500","1.8151","10.8167"
"11.0000","1.8235","10.8098"
"11.0500","1.8319","10.8336"
"11.1000","1.8402","10.8554"
"11.1500","1.8486","10.8282"
"11.2000","1.8569","10.8410"
"11.2500","1.8651","10.8561"
"11.3000","1.8735","10.8522"
"11.3500","1.8818","10.8627"
"11.4000","1.8902","10.8846"
"11.4500","1.8985","10.8886"
"11.5000","1.9069","10.8893"
"11.5500","1.9153","10.8852"
"11.6000","1.9235","10.8743"
"11.6500","1.9318","10.8878"
"11.7000","1.9401","10.8897"
"11.7500","1.9486","10.9023"
"11.8000","1.9569","10.9021"
"11.8500","1.9653","10.8983"
"11.9000","1.9736","10.9063"
"11.9500","1.9819","10.9083"
"12.0000","1.9902","10.9216"
"12.0500","1.9985","10.9225"
"12.1000","2.0069","10.9195"
"12.1500","2.0152","10.9126"
"12.2000","2.0236","10.9284"
"12.2500","2.0320","10.9260"
"12.3000","2.0402","10.9359"
"12.3500","2.0484","10.9280"
"12.4000","2.0568","10.9238"
"12.4500","2.0652","10.9523"
"12.5000","2.0735","10.9440"
"12.5500","2.0819","10.9689"
"12.6000","2.0902","10.9693"
"12.6500","2.0985","10.9520"
"12.7000","2.1068","10.9686"
"12.7500","2.1151","10.9970"
"12.8000","2.1235","10.9892"
"12.8500","2.1319","10.9875"
"12.9000","2.1402","10.9800"
"12.9500","2.1485","10.9835"
"13.0000","2.1569","10.9788"
"13.0500","2.1652","10.9796"
"13.1000","2.1735","10.9689"
"13.1500","2.1818","10.9613"
"13.2000","2.1902","10.9921"
"13.2500","2.1985","10.9811"
"13.3000","2.2069","10.9669"
"13.3500","2.2153","10.9669"
"13.4000","2.2235","10.9801"
"13.4500","2.2318","10.9718"
"13.5000","2.2402","10.9955"
"13.5500","2.2485","10.9966"
"13.6000","2.2569","10.9956"
"13.6500","2.2653","11.0098"
"13.7000","2.2736","11.0075"
"13.7500","2.2819","11.0103"
"13.8000","2.2901","11.0144"
"13.8500","2.2985","11.0441"
"13.9000","2.3069","11.0457"
"13.9500","2.3152","11.0502"
"14.0000","2.3235","11.0583"
"14.0500","2.3319","11.0556"
"14.1000","2.3402","11.0700"
"14.1500","2.3485","11.0817"
"14.2000","2.3568","11.0877"
"14.2500","2.3652","11.0827"
"14.3000","2.3735","11.0742"
"14.3500","2.3819","11.0983"
"14.4000","2.3903","11.1038"
"14.4500","2.3986","11.1176"
"14.5000","2.4069","11.0943"
"14.5500","2.4151","11.1044"
"14.6000","2.4235","11.1188"
"14.6500","2.4319","11.1253"
"14.7000","2.4402","11.1162"
"14.7500","2.4486","11.1283"
"14.8000","2.4569","11.1447"
"14.8500","2.4652","11.1382"
"14.9000","2.4734","11.1351"
"14.9500","2.4818","11.1458"
"15.0000","2.4902","11.1277"
"15.0500","2.4985","11.1569"
"15.1000","2.5069","11.1551"
"15.1500","2.5153","11.1636"
"15.2000","2.5236","11.1652"
"15.2500","2.5318","11.1865"
"15.3000","2.5401","11.1932"
"15.3500","2.5485","11.1934"
"15.4000","2.5569","11.2088"
"15.4500","2.5652","11.2202"
"15.5000","2.5735","11.2160"
"15.5500","2.5819","11.2186"
"15.6000","2.5902","11.2376"
"15.6500","2.5985","11.2325"
"15.7000","2.6068","11.2073"
"15.7500","2.6152","11.2429"
"15.8000","2.6235","11.2503"
"15.8500","2.6319","11.2520"
"15.9000","2.6402","11.2434"
"15.9500","2.6485","11.2481"
"16.0000","2.6568","11.2301"
"16.0500","2.6652","11.2349"
"16.1000","2.6735","11.2380"
"16.1500","2.6818","11.2706"
"16.2000","2.6902","11.2811"
"16.2500","2.6986","11.2600"
"16.3000","2.7069","11.2768"
"16.3500","2.7151","11.2782"
"16.4000","2.7234","11.2739"
"16.4500","2.7319","11.2810"
"16.5000","2.7402","11.2741"
"16.5500","2.7486","11.3015"
"16.6000","2.7569","11.2941"
"16.6500","2.7652","11.3123"
"16.7000","2.7735","11.2925"
"16.7500","2.7818","11.2965"
"16.8000","2.7902","11.3021"
"16.8500","2.7986","11.3121"
"16.9000","2.8069","11.3206"
"16.9500","2.8152","11.3200"
"17.0000","2.8236","11.3101"
"17.0500","2.8318","11.3358"
"17.1000","2.8401","11.3384"
"17.1500","2.8485","11.3449"
"17.2000","2.8569","11.3427"
"17.2500","2.8652","11.3320"
"17.3000","2.8735","11.3745"
"17.3500","2.8819","11.3702"
"17.4000","2.8902","11.3736"
"17.4500","2.8984","11.3669"
"17.5000","2.9068","11.3571"
"17.5500","2.9152","11.3677"
"17.6000","2.9235","11.3865"
"17.6500","2.9319","11.3947"
"17.7000","2.9402","11.3907"
"17.7500","2.9485","11.3682"
"17.8000","2.9568","11.3851"
"17.8500","2.9652","11.3917"
"17.9000","2.9735","11.3888"
"17.9500","2.9819","11.3869"
"18.0000","2.9903","11.3840"
"18.0500","2.9985","11.4042"
"18.1000","3.0069","11.3956"
"18.1500","3.0151","11.3698"
"18.2000","3.0235","11.3856"
"18.2500","3.0319","11.4142"
"18.3000","3.0402","11.4102"
"18.3500","3.0486","11.3929"
"18.4000","3.0569","11.4076"
"18.4500","3.0652","11.4117"
"18.5000","3.0735","11.4256"
"18.5500","3.0818","11.4360"
"18.6000","3.0902","11.4242"
"18.6500","3.0986","11.4231"
"18.7000","3.1069","11.4523"
"18.7500","3.1152","11.4344"
"18.8000","3.1235","11.4541"
"18.8500","3.1318","11.4385"
"18.9000","3.1401","11.4427"
"18.9500","3.1485","11.4541"
"19.0000","3.1569","11.4574"
"19.0500","3.1652","11.4605"
"19.1000","3.1736","11.4564"
"19.1500","3.1819","11.4751"
"19.2000","3.1902","11.4507"
"19.2500","3.1985","11.4669"
"19.3000","3.2068","11.4631"
"19.3500","3.2152","11.4691"
"19.4000","3.2235","11.4627"
"19.4500","3.2319","11.4590"
"19.5000","3.2402","11.4661"
"19.5500","3.2485","11.4686"
"19.6000","3.2568","11.4556"
"19.6500","3.2651","11.4720"
"19.7000","3.2735","11.4793"
"19.7500","3.2819","11.4745"
"19.8000","3.2902","11.4761"
"19.8500","3.2985","11.4951"
"19.9000","3.3068","11.4974"
"19.9500","3.3152","11.5009"
"20.0000","3.3235","11.5145"
"20.0500","3.3318","11.5093"
"20.1000","3.3402","11.5005"
"20.1500","3.3485","11.4947"
"20.2000","3.3569","11.5193"
"20.2500","3.3652","11.4916"
"20.3000","3.3735","11.4927"
"20.3500","3.3818","11.4835"
"20.4000","3.3901","11.5226"
"20.4500","3.3985","11.5179"
"20.5000","3.4069","11.5135"
"20.5500","3.4153","11.4925"
"20.6000","3.4236","11.5141"
"20.6500","3.4319","11.5348"
"20.7000","3.4401","11.5206"
"20.7500","3.4485","11.5263"
"20.8000","3.4569","11.5394"
"20.8500","3.4652","11.5125"
"20.9000","3.4736","11.5049"
"20.9500","3.4819","11.5291"
"21.0000","3.4902","11.5306"
"21.0500","3.4984","11.5279"
"21.1000","3.5068","11.5214"
"21.1500","3.5152","11.5250"
"21.2000","3.5236","11.5228"
"21.2500","3.5319","11.5120"
"21.3000","3.5402","11.5285"
"21.3500","3.5485","11.5429"
"21.4000","3.5568","11.5473"
"21.4500","3.5651","11.5256"
"21.5000","3.5735","11.5706"
"21.5500","3.5819","11.5480"
"21.6000","3.5903","11.5589"
"21.6500","3.5986","11.5625"
"21.7000","3.6069","11.5874"
"21.7500","3.6152","11.5594"
"21.8000","3.6234","11.5849"
"21.8500","3.6318","11.5683"
"21.9000","3.6402","11.5767"
"21.9500","3.6486","11.5687"
"22.0000","3.6569","11.5872"
"22.0500","3.6652","11.5820"
"22.1000","3.6736","11.5795"
"22.1500","3.6818","11.5928"
"22.2000","3.6901","11.6081"
"22.2500","3.6985","11.5992"
"22.3000","3.7069","11.6210"
"22.3500","3.7153","11.6038"
"22.4000","3.7236","11.5814"
"22.4500","3.7319","11.5998"
"22.5000","3.7401","11.6173"
"22.5500","3.7485","11.5991"
"22.6000","3.7569","11.6034"
"22.6500","3.7652","11.6072"
"22.7000","3.7736","11.6020"
"22.7500","3.7819","11.5978"
"22.8000","3.7902","11.6086"
"22.8500","3.7985","11.5797"
"22.9000","3.8068","11.5940"
"22.9500","3.8152","11.6101"
"23.0000","3.8236","11.6223"
"23.0500","3.8319","11.6127"
"23.1000","3.8402","11.6129"
"23.1500","3.8485","11.5860"
"23.2000","3.8568","11.6122"
"23.2500","3.8651","11.5982"
"23.3000","3.8735","11.6067"
"23.3500","3.8818","11.6358"
"23.4000","3.8902","11.6120"
"23.4500","3.8986","11.6208"
"23.5000","3.9069","11.6186"
"23.5500","3.9152","11.6240"
"23.6000","3.9235","11.6264"
"23.6500","3.9318","11.6325"
"23.7000","3.9402","11.6180"
"23.7500","3.9486","11.6237"
"23.8000","3.9569","11.6016"
"23.8500","3.9652","11.6187"
"23.9000","3.9735","11.6251"
"23.9500","3.9818","11.6402"
"24.0000","3.9902","11.6387"
"24.0500","3.9985","11.6502"
"24.1000","4.0069","11.6276"
"24.1500","4.0153","11.6224"
"24.2000","4.0235","11.6354"
"24.2500","4.0318","11.6427"
"24.3000","4.0402","11.6447"
"24.3500","4.0485","11.6248"
"24.4000","4.0568","11.6485"
"24.4500","4.0652","11.6438"
"24.5000","4.0736","11.6494"
"24.5500","4.0819","11.6642"
"24.6000","4.0902","11.6297"
"24.6500","4.0985","11.6793"
"24.7000","4.1068","11.6765"
"24.7500","4.1152","11.6735"
"24.8000","4.1235","11.6712"
"24.8500","4.1319","11.6716"
"24.9000","4.1403","11.6588"
"24.9500","4.1486","11.6650"
"25.0000","4.1568","11.6417"
"25.0500","4.1651","11.6654"
"25.1000","4.1735","11.6455"
"25.1500","4.1819","11.6539"
"25.2000","4.1902","11.6301"
"25.2500","4.1987","11.6474"
"25.3000","4.2069","11.6435"
"25.3500","4.2152","11.6543"
"25.4000","4.2234","11.6386"
"25.4500","4.2319","11.6478"
"25.5000","4.2402","11.6414"
"25.5500","4.2486","11.6475"
"25.6000","4.2570","11.6658"
"25.6500","4.2653","11.6423"
"25.7000","4.2735","11.6441"
"25.7500","4.2817","11.6465"
"25.8000","4.2901","11.6199"
"25.8500","4.2984","11.6057"
"25.9000","4.3068","11.5969"
"25.9500","4.3152","11.6049"
"26.0000","4.3235","11.5949"
"26.0500","4.3318","11.5988"
"26.1000","4.3402","11.5784"
"26.1500","4.3485","11.5676"
"26.2000","4.3568","11.5567"
"26.2500","4.3652","11.5701"
"26.3000","4.3736","11.5662"
"26.3500","4.3819","11.5780"
"26.4000","4.3903","11.5702"
"26.4500","4.3985","11.5446"
"26.5000","4.4068","11.5345"
"26.5500","4.4152","11.5266"
"26.6000","4.4235","11.5045"
"26.6500","4.4319","11.5050"
"26.7000","4.4403","11.5031"
"26.7500","4.4486","11.5010"
"26.8000","4.4568","11.4774"
"26.8500","4.4651","11.4462"
"26.9000","4.4735","11.4874"
"26.9500","4.4819","11.4512"
"27.0000","4.4902","11.4313"
"27.0500","4.4986","11.4170"
"27.1000","4.5069","11.4185"
